0.000000,res1,sumRes1
0.003962,3.0097940000000003,6.019588000000001
0.008353,3.0204690000000003,6.040938000000001
0.013221,3.032081,6.064162
0.018622,3.0447100000000002,6.0894200000000005
0.024617,3.058421,6.116842
0.031274,3.0732740000000005,6.146548000000001
0.038671,3.0893669999999998,6.1787339999999995
0.046893,3.1067489999999998,6.2134979999999995
0.056036,3.125499,6.250998
0.066209,3.145677,6.291354
0.077532,3.167347,6.334694
0.090137,3.1905580000000002,6.3811160000000005
0.104175,3.215351,6.430702
0.119811,3.24176,6.48352
0.137228,3.2697950000000002,6.5395900000000005
0.156629,3.299454,6.598908
0.178239,3.330707,6.661414
0.202305,3.3634959999999996,6.726991999999999
0.229098,3.3977629999999994,6.795525999999999
0.258916,3.4333829999999996,6.866765999999999
0.292084,3.4701959999999996,6.940391999999999
0.328955,3.508045,7.01609
0.369916,3.546687,7.093374
0.415381,3.5858742,7.1717484
0.4658,3.6253054999999996,7.250610999999999
0.521655,3.6646758999999998,7.3293517999999995
0.583467,3.7036265,7.407253
0.651792,3.7418221,7.4836442
0.727231,3.7789149999999996,7.557829999999999
0.81043,3.8145906000000003,7.6291812000000006
0.902088,3.8485743,7.6971486
1.002965,3.8806152000000003,7.7612304000000005
1.113887,3.9105340999999996,7.821068199999999
1.235754,3.9381876,7.8763752
1.369546,3.9634641999999998,7.9269283999999995
1.51633,3.9863213,7.9726426
1.677269,4.0067212,8.0134424
1.853626,4.0246388,8.0492776
2.046781,4.04010524,8.08021048
2.258243,4.053141780000001,8.106283560000001
2.489665,4.063835780000001,8.127671560000001
2.742868,4.07226559,8.14453118
3.019855,4.07856252,8.15712504
3.322833,4.082865920000001,8.165731840000001
3.654233,4.085328784,8.170657568
4.016733,4.0861288600000005,8.172257720000001
4.413292,4.085453383,8.170906766
4.847192,4.0835089662,8.1670179324
5.322099,4.0805150402,8.1610300804
5.842119,4.0767384933,8.1534769866
6.411881,4.07245563674,8.14491127348
7.036592,4.06795766018,8.13591532036
7.722097,4.063533538368,8.127067076736
8.474905,4.059422407799,8.118844815598
9.302191,4.0558239198689,8.1116478397378
10.211778,4.05283596618153,8.10567193236306
11.212089,4.05045830342841,8.10091660685682
12.312106,4.048578868208701,8.097157736417403
13.521346,4.047009580025063,8.094019160050125
14.849883,4.045494255802426,8.090988511604852
16.308449,4.0437769298001855,8.087553859600371
17.908631,4.04161386578001,8.08322773156002
19.663162,4.03884930618,8.07769861236
21.586292,4.035436314738,8.070872629476
23.694179,4.031445429161999,8.062890858323998
26.005262,4.0270411565448,8.0540823130896
28.540553,4.02246010924554,8.04492021849108
31.32382,4.0179717826295125,8.035943565259025
34.381662,4.013816201692128,8.027632403384256
37.743527,4.010174856336529,8.020349712673058
41.441698,4.007158533850669,8.014317067701338
45.511338,4.004800853853537,8.009601707707073
49.990624,4.003053868356887,8.006107736713775
54.921004,4.001838843723464,8.003677687446928
60.347585,4.001040702196902,8.002081404393804
66.319623,4.000552794918074,8.001105589836149
72.8911,4.000272735301305,8.00054547060261
80.12135,4.000124295900072,8.000248591800144
88.075698,4.000051392780002,8.000102785560005
96.826124,4.00002127117,8.00004254234
106.451943,4.000005232462,8.000010464924
117.040515,4.0000034151693,8.0000068303386
128.688018,3.9999991152808,7.9999982305616
141.5003,4.00000074780556,8.00000149561112
155.593819,4.000000155833438,8.000000311666875
171.096694,4.000000027787366,8.000000055574732
188.149857,4.0000000041732315,8.000000008346463
206.908336,4.000000000518782,8.000000001037565
227.542664,4.000000000052372,8.000000000104745
250.240424,4.000000000004205,8.00000000000841
275.20796,4.000000000000262,8.000000000000524
302.672249,4.000000000000012,8.000000000000025
332.882968,4.0,8.0
366.114758,4.0,8.0
402.669728,4.0,8.0
442.880194,4.0,8.0
487.111708,4.0,8.0
535.766372,4.0,8.0
589.286503,4.0,8.0
648.158647,4.0,8.0
712.918005,4.0,8.0
784.153299,4.0,8.0
862.512123,4.0,8.0
948.706829,4.0,8.0
1043.521005,4.0,8.0
1147.8166,4.0,8.0
